ISBN	BookTitle	BookAuthor	YearOfPublication	Publisher	Pagenumber	Issue	Genre	Dimensions	BookLanguage
0151004374	The Iron Tonic: Or, A Winter Afternoon in Lonely Valley	Edward Gorey	2000	Harcourt	673	22	20.96 x 26.04	FR	science
0151004439	Snow Falling on Cedars: Movie Tie-in Edition	David Guterson	1999	Harcourt	478	9	20.96 x 26.04	CRO	diary
0151004536	Longing	J.D. Landis	2000	Harcourt	366	4	20.96 x 26.04	ENG	philosophy
0151004552	Redemption	Howard Fast	1999	Harcourt	392	16	20.96 x 26.04	ENG	memoir
015100496X	My Century: A Novel	Gunter Grass	1999	Harcourt	390	19	20.96 x 26.04	ENG	poetry
0151005141	The Headless Bust: A Melancholy Meditation for the False Millennium	Edward Gorey	1999	Harcourt	603	9	20.96 x 26.04	FR	crime
0151005214	The Peppered Moth	Margaret Drabble	2001	Harcourt	482	1	20.96 x 26.04	ENG	art/architecture
0151005230	Cape Breton Road: A Novel	D. R. Macdonald	2001	Harcourt	597	1	12.70 x 12.70	ENG	travel
0151005346	The Nautical Chart	Arturo Pérez-Reverte	2001	Harcourt	485	7	20.96 x 26.04	ENG	health/fitness
0151005672	The Telling	Ursula K. Le Guin	2000	Harcourt	209	9	20.96 x 26.04	ENG	satire
0151005958	The Tale of the Unknown Island	Jose Saramago	1999	Harcourt	397	17	20.96 x 26.04	FR	autobiography
0151006008	The Middle of Everywhere: The World's Refugees Come to Our Town	Mary Pipher	2002	Harcourt	192	19	20.96 x 26.04	FR	cookbook
0151006040	Odd Girl Out: The Hidden Culture of Aggression in Girls	Rachel Simmons	2002	Harcourt	481	15	12.70 x 12.70	SP	historical fiction
015100613X	Gorgeous Lies	Martha McPhee	2002	Harcourt	28	20	20.96 x 26.04	ENG	western
0151006261	Under the Skin	Michel Faber	2000	Harcourt	487	7	20.96 x 26.04	GER	religion and spirituality
0151006555	Bay of Tigers: An Odyssey through War-torn Angola	Pedro Rosa Mendes	2003	Harcourt	552	22	20.96 x 26.04	ENG	encyclopedia
0151006792	Nuremberg: The Reckoning	Jr., William F. Buckley	2002	Harcourt	424	8	20.96 x 26.04	ENG	humor
0151006857	House Under Snow	Jill Bialosky	2002	Harcourt	245	13	20.96 x 26.04	GER	religion and spirituality
0151006989	Earth and Ashes	Atiq Rahimi	2002	Harcourt	556	7	20.96 x 26.04	ENG	thriller
0151007039	School of Dreams: Making the Grade at a Top American High School	Edward Humes	2003	Harcourt	376	25	29.85 x 29.85	ENG	philosophy
0151007217	Oxygen	Andrew Miller	2002	Harcourt	205	7	20.96 x 26.04	ENG	business/economics
0151007403	The Seven Sisters	Margaret Drabble	2002	Harcourt	647	9	20.96 x 26.04	SP	action and adventure
0151008280	Becoming Mona Lisa: The Making of a Global Icon	Donald Sassoon	2001	Harcourt	38	3	17.15 x 16.83	ENG	cookbook
0151009015	Sepharad	Antonio Munox Molina	2003	Harcourt	432	7	20.96 x 26.04	ENG	young adult
015100949X	Soft Sift: Poems	Mark Ford	2003	Harcourt	222	11	20.96 x 26.04	SP	graphical novel
0151009716	Changing Planes: Stories	Ursula K. Le Guin	2003	Harcourt	551	17	20.96 x 26.04	ENG	horror
0151009988	Mrs. Dalloway	Virginia Woolf	2002	Harcourt	290	24	20.96 x 26.04	CRO	religion and spirituality
0151010749	The Ghost Writer	John Harwood	2004	Harcourt	250	6	20.96 x 26.04	ENG	picture book
0151104212	Babbitt	Sinclair Lewis	1989	Harcourt	501	6	20.96 x 26.04	ENG	self help
0151104506	Bailey's Cafe	Gloria Naylor	1992	Harcourt	311	15	20.96 x 26.04	FR	science
0151132178	Blood Relations/the Exclusive Inside Story of the Benson Family Murders	John Greenya	1987	Harcourt	44	7	20.96 x 26.04	SP	historical fiction
0151255962	The Diary of Anais Nin: 1966-1974	Anais Nin	1981	Harcourt	486	21	20.96 x 26.04	ENG	sports and leisure
0151262276	Winterdance: The Fine Madness of Running the Iditarod	Gary Paulsen	1994	Harcourt	178	22	20.96 x 26.04	CRO	science
0151334811	Free to Choose: A Personal Statement	Milton Friedman	1980	Harcourt	28	12	20.96 x 26.04	ENG	crime
0151489262	The Flanders Panel	Arturo Perez-Reverte	1994	Harcourt	598	20	20.96 x 26.04	GER	memoir
0151504407	Let's Have Healthy Children.	Adelle Davis	1959	Harcourt	530	17	20.96 x 26.04	FR	true crime
0151639663	For the Record: From Wall Street to Washington	Donald Regan	1988	Harcourt	151	8	20.96 x 26.04	ENG	crafts/hobbies
0151652066	New and Collected Poems	Richard Wilbur	1988	Harcourt	96	17	20.96 x 26.04	FR	journal
0151658978	The Nine Tailors (Hbj Modern Classics)	Dorothy L. Sayers	1989	Harcourt	23	13	20.96 x 26.04	SP	encyclopedia
015170158X	The Orion line	Nicholas Luard	1977	Harcourt Brace Jovanovich	58	14	20.96 x 26.04	ENG	romance
0151712824	Passenger	Thomas Keneally	1979	Harcourt Brace Jovanovich	540	6	20.96 x 26.04	ENG	humor
0151712921	Patchwork	Karen Osborn	1991	Harcourt	110	8	20.96 x 26.04	ENG	thriller
0151807027	Selected Prose of T.S. Eliot	T. S. Eliot	1975	Harcourt	51	22	20.96 x 26.04	FR	cookbook
0151829756	The Slaying of the dragon: Modern tales of the playful imagination	Franz Rottensteiner	1984	Harcourt Brace Jovanovich	615	2	20.96 x 26.04	GER	horror
0151879834	Tales from Margaritaville: Fictional Facts and Factual Fictions	Jimmy Buffett	1989	Harcourt	176	3	17.15 x 16.83	FR	crime
0151907366	To the Lighthouse	Virginia Woolf	1981	Harcourt	658	17	20.96 x 26.04	ENG	fantasy
0151975116	The Wise Virgins: A Story of Words, Opinions and a Few Emotions	Leonard Sidney Woolf	1979	Harcourt	32	18	20.96 x 26.04	ENG	dictionary
0152001018	A Break with Charity: A Story about the Salem Witch Trials	Ann Rinaldi	1994	Gulliver Books Paperbacks	380	18	20.96 x 26.04	FR	young adult
0152001182	Mouse Paint	Ellen Stoll Walsh	1995	Voyager Books	669	5	20.96 x 26.04	ENG	biography
0152001794	Bad Behavior	Mary Higgins Clark	1995	Harcourt	274	11	20.96 x 26.04	ENG	health/fitness
0152002146	Mr. Putter &amp; Tabby Bake the Cake (Mr. Putter &amp; Tabby)	Cynthia Rylant	1994	Harcourt Paperbacks	351	2	20.96 x 26.04	ENG	review
015200405X	A¿da	Leontyne Price	1990	Gulliver Books	276	16	20.96 x 26.04	CRO	sports and leisure
0152005285	The Method	Paul Robert Walker	1990	Harcourt	367	7	20.96 x 26.04	ENG	alternate history
0152005471	Cantsee: The Cat Who Was the Color of the Carpet	Gretchen Schields	1996	Harcourt	418	16	20.96 x 26.04	ENG	encyclopedia
0152006737	A Ride into Morning: The Story of Tempe Wick	Ann Rinaldi	1995	Gulliver Books Paperbacks	77	10	20.96 x 26.04	ENG	fairytale
0152008764	Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley	Ann Rinaldi	1996	Gulliver Books	296	22	20.96 x 26.04	SP	thriller
0152008772	Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley	Ann Rinaldi	1996	Gulliver Books Paperbacks	636	9	20.96 x 26.04	SP	science
0152008799	Finishing Becca: A Story about Peggy Shippen and Benedict Arnold	Ann Rinaldi	1994	Gulliver Books Paperbacks	492	3	17.15 x 16.83	ENG	review
0152009604	User Unfriendly	Vivian Vandevelde	1991	Harcourt Childrens Books	549	9	20.96 x 26.04	ENG	historical fiction
015201036X	Eating the Alphabet	Lois Ehlert	1996	Red Wagon Books	176	11	20.96 x 26.04	ENG	philosophy
0152012079	A Wizard Abroad (Wizardry Series, No. 4)	Diane Duane	1999	Harcourt Inc	640	22	20.96 x 26.04	ENG	science
0152012966	I Want to Be...a Veterinarian (I Want to Be... Series)	Stephanie Maze	1997	Harcourt	414	21	20.96 x 26.04	ENG	philosophy
0152015981	Sophie	Mem Fox	1997	Voyager Books	562	5	20.96 x 26.04	ENG	history
015201800X	The Pearl of the Soul of the World: The Darkangel Trilogy, Volume III	Meredith Ann Pierce	1999	Magic Carpet Books	444	6	20.96 x 26.04	CRO	encyclopedia
0152018913	Tough Boris	Mem Fox	1998	Voyager Books	317	23	20.96 x 26.04	ENG	short story
0152019561	The Cozy Book	Mary Ann Hoberman	1999	Voyager Books	334	19	20.96 x 26.04	ENG	alternate history
0152020039	Cinderella Skeleton	Robert D. San Souci	2000	Silver Whistle	532	5	20.96 x 26.04	GER	true crime
015202087X	The Loudness of Sam	James Proimos	1999	Harcourt Children's Books	309	2	20.96 x 26.04	ENG	horror
0152020950	Snowballs	Lois Ehlert	1999	Voyager Books	151	11	12.70 x 12.70	ENG	comic book
0152022341	Sacajawea	Joseph Bruchac	2000	Silver Whistle Books	467	14	20.96 x 26.04	ENG	true crime
0152022686	Armageddon Summer	Bruce Coville	1999	Harcourt Paperbacks	279	14	29.85 x 29.85	ENG	guide
0152023984	The Little Prince	Antoine de Saint-Exupéry	2000	Harcourt Children's Books	20	7	20.96 x 26.04	FR	poetry
0152025634	Boots and the Seven Leaguers: A Rock-and-Troll Novel	Jane Yolen	2003	Magic Carpet Books	389	4	20.96 x 26.04	FR	mystery
0152025898	A Stranger at Green Knowe	L. M. Boston	2002	Odyssey Classics	101	25	20.96 x 26.04	ENG	self help
015202610X	The Witch Family	Eleanor Estes	2000	Odyssey Classics	355	20	20.96 x 26.04	ENG	self help
0152046151	Sorcery and Cecelia or The Enchanted Chocolate Pot: Being the Correspondence of Two Young Ladies of Quality Regarding Various Magical Scandals in London and the Country	Caroline Stevermer	2003	Harcourt Children's Books	40	14	20.96 x 26.04	CRO	drama
0152046704	Story Time	Edward Bloor	2004	Harcourt	64	23	20.96 x 26.04	ENG	graphical novel
0152046801	Send Me Down a Miracle	Han Nolan	2003	Harcourt Paperbacks	558	22	20.96 x 26.04	FR	diary
0152047263	Introducing the Little Prince: Board Book Gift Set	Antoine de Saint-Exupéry	2003	Red Wagon Books	518	4	20.96 x 26.04	FR	political thriller
0152047336	The Borrowers Afloat	Mary Norton	2003	Odyssey Classics	191	2	20.96 x 26.04	ENG	historical fiction
0152164502	The Coffin Quilt: The Feud between the Hatfields and the McCoys	Ann Rinaldi	2001	Gulliver Books Paperbacks	332	19	20.96 x 26.04	ENG	suspense
0152167919	Once Upon a Marigold	Jean Ferris	2002	Harcourt Children's Books	364	6	20.96 x 26.04	ENG	graphical novel
0152241310	Dove Isabeau	Jane Yolen	1989	Harcourt	654	21	12.70 x 12.70	ENG	science fiction
0152322426	Gooseberry Park	Cynthia Rylant	1995	Harcourt Children's Books	447	4	20.96 x 26.04	ENG	coming of age
0152380213	If the Dinosaurs Came Back	Bernard Most	1989	Voyager Books	358	4	20.96 x 26.04	ENG	western
0152416404	Justice and Her Brothers (Odyssey, Bk 1)	Virginia Hamilton	1989	Harcourt	427	12	20.96 x 26.04	ENG	anthology
0152463216	Little Nino's Pizzeria	Karen Barbour	1990	Voyager Books	455	3	17.15 x 16.83	SP	self help
0152632247	Possum Magic (Voyager Books)	Mem Fox	1991	Voyager Books	677	17	20.96 x 26.04	ENG	self help
0152749586	Simple Pictures Are Best	Nancy Willard	1977	Harcourt	611	8	20.96 x 26.04	SP	guide
015297850X	Wings	Jane Yolen	1991	Harcourt Childrens Books	358	15	20.96 x 26.04	ENG	classic
0153119020	Warriner's English Grammar and Composition Third Course	John Warriners	1977	Harcourt College Pub	388	16	12.70 x 12.70	SP	fantasy
015334850X	Adventures in Readers: Book 1 (Adventures for Readers)	Fannie Safier	1989	Harcourt	409	5	20.96 x 26.04	GER	biography
0155001620	Discovery of Poetry	Francis Mayes	1994	Heinle	594	19	12.70 x 12.70	ENG	memoir
0155013459	The Human Perspective: Readings in World Civilization (Human Perspective)	Lynn H. Nelson	1997	Harcourt Brace College Publishers	332	5	20.96 x 26.04	ENG	mystery
015501482X	The Informed Argument: A Multidisciplinary Reader and Guide	Robert K. Miller	1995	Harcourt Brace College Publishers	611	8	20.96 x 26.04	GER	comic book
0155019872	A Guide to Literary Criticism and Research	Stevens	1996	Harcourt	262	24	20.96 x 26.04	ENG	philosophy
0155023616	American Life, American People, Volume II (American Life, American People)	Neil  Larry Shumsky	1988	Wadsworth Publishing	148	7	29.85 x 29.85	FR	fantasy
0155026607	Twenty Questions: An Introduction to Philosophy	G. Lee Bowie	1995	Harcourt	529	21	20.96 x 26.04	ENG	guide
0155037218	Perrine's Story and Structure	Laurence Perrine	1997	Harcourt	404	10	20.96 x 26.04	ENG	travel
0155038222	Perrine's Literature: Structure, Sound, and Sense	Thomas R. Arp	1999	Thomson Learning	426	9	20.96 x 26.04	ENG	historical fiction
0155430645	Introduction to Logic and Critical Thinking	Merrilee H. Salmon	1994	Harcourt Brace College Publishers	125	7	20.96 x 26.04	ENG	business/economics
015562511X	The modern researcher	Jacques Barzun	1977	Harcourt Brace Jovanovich	700	20	20.96 x 26.04	GER	graphical novel
0155758276	Readings for writers	Jo Ray McCuen	1977	Harcourt Brace Jovanovich	306	9	20.96 x 26.04	ENG	review
0155826069	Sound and sense: An introduction to poetry	Laurence Perrine	1982	Harcourt Brace Jovanovich	44	23	20.96 x 26.04	ENG	coming of age
0156001128	Writers &amp; Company	Eleanor Wachtel	1994	Harcourt	191	11	20.96 x 26.04	ENG	suspense
0156001284	Biografi: A Traveler's Tale	Lloyd Jones	1994	Harvest Books	539	12	20.96 x 26.04	FR	history
0156001942	Winter's Tale	Mark Helprin	1995	Harvest Books	441	23	20.96 x 26.04	FR	romance
015600206X	The Circus of the Earth and the Air	Brooke Stevens	1995	Harvest Books	468	25	20.96 x 26.04	ENG	memoir
0156002078	Silk Hope, Nc/a Novel (A Harvest Book)	Lawrence Naumoff	1995	Harvest Books	181	13	20.96 x 26.04	SP	history
0156002221	Byrne's Wonderful World of Pool and Billiards: A Cornucopia of Instruction, Strategy, Anecdote, and Colorful Characters	Robert Byrne	1996	Harvest Books	515	15	20.96 x 26.04	GER	children
0156002523	Melancholy Of Rebirth: Essays From Post-Communist Central Europe, 1989-1994	Gyorgy Konrad	1995	Harcourt	497	2	20.96 x 26.04	ENG	religion and spirituality
0156003376	The Only Investment Guide You'll Ever Need	Andrew Tobias	1996	Harcourt Inc	479	10	20.96 x 26.04	ENG	journal
0156003880	Choices	Mary Lee Settle	1996	Harvest Books	59	13	12.70 x 12.70	ENG	fairytale
0156004011	The Stone Raft	Jose Saramago	1996	Harvest Books	652	9	20.96 x 26.04	ENG	math
0156004682	The Pillow Boy of the Lady Onogoro	Alison Fell	1997	Harvest Books	404	6	20.96 x 26.04	ENG	children
0156004801	All the King's Men (Harvest Book)	Robert Penn Warren	1996	Harvest Books	122	4	20.96 x 26.04	ENG	guide
0156005042	But I Love You Anyway (Harvest American Writing)	Sara Lewis	1997	Harvest Books	408	20	29.85 x 29.85	ENG	anthology
015600514X	St. Burl's Obituary	Daniel Akst	1997	Harvest Books	539	22	17.15 x 16.83	ENG	diary
0156005204	Baltasar and Blimunda	Jose Saramago	1998	Harvest Books	324	4	20.96 x 26.04	CRO	anthology
0156005573	Don't Call It Night (Harvest in Translation)	Amos Oz	1997	Harvest Books	271	17	20.96 x 26.04	ENG	action and adventure
0156005786	In Light of India	Octavio Paz	1998	Harvest Books	150	8	20.96 x 26.04	ENG	picture book
015600609X	Burden of Desire (Harvest Book)	Robert MacNeil	1998	Harvest Books	454	13	20.96 x 26.04	SP	home and garden
0156006294	Play for a Kingdom	Thomas Dyja	1998	Harvest Books	485	25	20.96 x 26.04	ENG	anthology
0156006332	Finbar's Hotel: A Novel	Dermot Bolger	1999	Harvest Books	157	22	20.96 x 26.04	ENG	history
0156006510	Killing  the Dream: James Earl Ray and the Assassination of Martin Luther King, Jr.	Gerald Posner	1999	Harvest Books	298	2	12.70 x 12.70	SP	science
0156006529	Where or When  : A Novel	Anita Shreve	1999	Harvest Books	691	7	20.96 x 26.04	ENG	drama
0156007096	Walk on Water: A Memoir	Lorian Hemingway	1999	Harvest Books	567	7	20.96 x 26.04	ENG	science fiction
015600710X	Strange Fits of Passion: A Novel	Anita Shreve	1999	Harvest Books	401	21	20.96 x 26.04	SP	crime
0156007185	The Worst Day of My Life, So Far	M. A. Harper	2002	Harvest Books	297	10	20.96 x 26.04	CRO	western
0156007193	The Peppered Moth	Margaret Drabble	2002	Harvest Books	278	12	20.96 x 26.04	ENG	biography
0156007339	Victim of the Aurora (Harvest Book)	Thomas Keneally	2001	Harvest Books	494	4	20.96 x 26.04	ENG	short story
0156007568	The Years with Laura Diaz	Carlos Fuentes	2001	Harvest Books	203	14	20.96 x 26.04	ENG	mystery
0156007819	Eucalyptus: A Novel	Murray Bail	1999	Harvest Books	662	14	20.96 x 26.04	ENG	guide
0156010593	All the Names	Jose Saramago	2001	Harvest Books	518	25	20.96 x 26.04	ENG	action and adventure
0156010658	Best New American Voices 2001 (Best New American Voices)	John Kulka	2001	Harvest Books	300	3	29.85 x 29.85	ENG	poetry
0156010690	The Emperors New Clothes: An All-Star Illustrated Retelling of the Classic Fairy Tale	Hans Christian Andersen	2000	Harcourt	18	13	12.70 x 12.70	SP	art/architecture
0156010887	The Blue Bedspread	Raj Kamal Jha	2001	Harvest Books	335	13	20.96 x 26.04	ENG	romance
0156010941	The Lost Legends of New Jersey	Frederick Reiken	2001	Harvest Books	639	16	20.96 x 26.04	FR	dictionary
0156011042	East of the Mountains (Vintage Contemporaries (Paperback))	David Guterson	2000	Harvest Books	391	16	20.96 x 26.04	ENG	historical fiction
0156011190	The Big Killing	Robert Wilson	2003	Harvest Books	32	9	12.70 x 12.70	ENG	textbook
0156011409	Snow Man	Carolyn Chute	2001	Harvest Books	188	9	20.96 x 26.04	ENG	biography
0156011433	Snow Mountain Passage	James D. Houston	2002	Harvest Books	405	16	20.96 x 26.04	ENG	journal
0156011581	Roads to Santiago: A Modern-Day Pilgrimage Through Spain	Cees Nooteboom	2000	Harcourt	666	2	20.96 x 26.04	CRO	true crime
0156012014	The Sopranos: A Novel	Alan Warner	2000	Harvest Books	324	21	20.96 x 26.04	ENG	travel
0156012030	An Obedient Father	Akhil Sharma	2001	Harvest Books	447	5	12.70 x 12.70	ENG	journal
015601226X	As Meat Loves Salt (Harvest Original)	Maria McCann	2003	Harvest Books	152	7	20.96 x 26.04	ENG	crafts/hobbies
0156012952	All the King's Men	Robert Penn Warren	2002	Harvest Books	621	22	20.96 x 26.04	ENG	drama
0156013177	The Hole in the Universe: How Scientists Peered over the Edge of Emptiness and Found Everything	K. C. Cole	2001	Harvest Books	385	11	20.96 x 26.04	FR	anthology
0156013908	The Honey Thief	Elizabeth Graver	2000	Harvest Books	691	21	20.96 x 26.04	ENG	science fiction
0156013983	Le Petit Prince (French Language Edition)	Antoine de Saint-Exupéry	2001	Harvest Books	260	22	20.96 x 26.04	FR	true crime
015601422X	Crooked River Burning	Mark Winegardner	2001	Harvest Books	297	19	20.96 x 26.04	ENG	romance
0156026996	Where Is Joe Merchant?: A Novel Tale	Jimmy Buffett	2003	Harvest Books	113	24	29.85 x 29.85	FR	mystery
0156027151	Uncle Boris in the Yukon: and Other Shaggy Dog Stories	Daniel Pinkwater	2002	Harvest Books	469	7	20.96 x 26.04	FR	business/economics
0156027321	Life of Pi	Yann Martel	2003	Harvest Books	624	3	17.15 x 16.83	ENG	science
0156027402	Oxygen	Andrew Miller	2003	Harvest Books	616	14	20.96 x 26.04	ENG	western
0156027496	Wind, Sand and Stars	Antoine De Saint-Exupery	2002	Harvest Books	187	3	17.15 x 16.83	ENG	classic
015602781X	Pincher Martin: The Two Deaths of Christopher Martin	William Golding	2002	Harvest Books	700	12	20.96 x 26.04	ENG	graphical novel
0156028751	The Seven Sisters	Margaret Drabble	2003	Harvest Books	267	16	20.96 x 26.04	SP	journal
0156028778	The Crimson Petal and the White	Michel Faber	2003	Harvest Books	68	24	20.96 x 26.04	ENG	poetry
0156029073	What Are You Looking At? The First Fat Fiction Anthology	Donna Jarrell	2003	Harvest Books	39	22	20.96 x 26.04	ENG	math
015602943X	The Time Traveler's Wife (Harvest Book)	Audrey Niffenegger	2004	Harvest Books	408	11	20.96 x 26.04	FR	horror
0156029588	The Flanders Panel	Arturo Perez-Reverte	2004	Harvest Books	120	10	20.96 x 26.04	GER	fairytale
0156029839	The Fencing Master	Arturo Perez-Reverte	2004	Harvest Books	91	4	20.96 x 26.04	ENG	diary
0156029987	Vernon God Little	DBC Pierre	2004	Harvest Books	535	19	20.96 x 26.04	FR	fantasy
015603008X	Flowers for Algernon	Daniel Keyes	2004	Harvest Books	602	7	20.96 x 26.04	ENG	picture book
0156047624	All the King's Men	Robert Penn Warren	1982	Harvest Books	211	21	20.96 x 26.04	ENG	crafts/hobbies
0156093103	At the Chelsea	Florence Turner	1987	Harcourt	329	17	20.96 x 26.04	ENG	children
0156106809	The Baron in the Trees	Italo Calvino	1977	Harcourt	342	6	20.96 x 26.04	ENG	historical fiction
0156130637	Black Mischief: Language, Life, Logic, Luck-Second Edition	David Berlinski	1988	Harvest Books	688	10	20.96 x 26.04	RUS	political thriller
0156132672	The Blue Room (Harvest/HBJ Book)	Georges Simenon	1985	Harcourt	202	12	20.96 x 26.04	ENG	western
0156154552	The Castle of Crossed Destinies	Italo Calvino	1979	Harvest Books	546	18	20.96 x 26.04	FR	review
0156181924	The Clown of God	Tomie dePaola	1978	Harvest Books	292	4	20.96 x 26.04	ENG	anthology
0156260328	The Diary Of Anais Nin, Volume 6 (1955-1966)	Anais Nin	1977	Harvest Books	679	12	20.96 x 26.04	ENG	picture book
0156332256	Four Quartets (Harvest Book)	T. S. Eliot	1968	Harvest Books	448	25	20.96 x 26.04	ENG	thriller
0156340402	The Futurological Congress: From the Memoirs of Ijon Tichy	Stanislaw Lem	1985	Harcourt	395	4	20.96 x 26.04	ENG	comic book
0156364654	A Good Man Is Hard to Find and Other Stories	Flannery O'Connor	1977	Harvest Books	207	3	17.15 x 16.83	ENG	anthology
0156364697	Gossip from the Forest	Thomas Keneally	1985	Harvest Books	384	13	20.96 x 26.04	SP	picture book
0156372088	The Group	Mary McCarthy	1991	Harvest Books	592	3	17.15 x 16.83	ENG	dictionary
0156391252	Harvest Poems: 1910-1960	Carl Sandburg	1960	Harvest Books	53	1	20.96 x 26.04	ENG	science fiction
0156394014	A Haunted House and Other Short Stories	Virginia Woolf	1966	Harvest Books	235	13	20.96 x 26.04	ENG	home and garden
0156439557	Ideology and Utopia: An Introduction to the SOCIOLOGY (740) of Knowledge	Karl Mannheim	1985	Harcourt	38	18	20.96 x 26.04	FR	alternate history
0156443791	The Inheritors	William Golding	1963	Harvest Books	194	10	20.96 x 26.04	ENG	crafts/hobbies
0156453800	Invisible Cities (A Harvest/Hbj Book)	Italo Calvino	1978	Harcourt	624	9	12.70 x 12.70	SP	fantasy
0156468999	Keep the Aspidistra Flying (Harvest Book)	George Orwell	1969	Harvest Books	428	23	20.96 x 26.04	ENG	home and garden
015647123X	The kingdom of evil: A continuation of the Journal of Fantazius Mallare	Ben Hecht	1978	Harcourt Brace Jovanovich	238	16	20.96 x 26.04	ENG	biography
0156507005	Letters from Jenny	Gordon W. Allport	1965	Harvest Books	186	12	20.96 x 26.04	FR	children
0156565145	Man Against Himself	Karl Menninger	1985	Harvest Books	354	3	17.15 x 16.83	ENG	math
0156619180	Moments of Being: Second Edition	Virginia Woolf	1985	Harcourt	132	9	12.70 x 12.70	ENG	encyclopedia
0156681404	Oliver Button Is a Sissy	Tomie dePaola	1979	Harvest Books	383	24	20.96 x 26.04	SP	self help
015668568X	Old Possum's Book of Practical Cats, Illustrated Edition	T.S. Eliot	1982	Harvest Books	617	3	17.15 x 16.83	ENG	travel
0156685701	Old Possum's Book of Practical Cats (Harvest Book)	T.S. Eliot	1968	Harvest Books	135	13	20.96 x 26.04	ENG	biography
0156687453	Once: Poems (Harvest Book ; Hb 337)	Alice Walker	1976	Harvest Books	613	6	20.96 x 26.04	ENG	fairytale
0156705427	Over sea, under stone (A Voyager/HBJ book)	Susan Cooper	1979	Harcourt Brace Jovanovich	676	5	20.96 x 26.04	GER	humor
0156729156	The Ponder Heart	Eudora Welty	1967	Harcourt	298	19	20.96 x 26.04	GER	poetry
015675830X	The Rat	Gunter Grass	1989	Harvest Books	17	2	20.96 x 26.04	ENG	alternate history
0156787326	Room of One's Own	Virginia Woolf	1979	Harvest Books	348	6	20.96 x 26.04	ENG	short story
0156787334	A Room of One's Own	Virginia Woolf	1989	Harcourt	695	7	20.96 x 26.04	ENG	classic
0156790157	The Roots of Treason: Ezra Pound and the Secret of St. Elizabeths	E. Fuller Torrey	1984	Harcourt Brace Jovanovich	633	18	20.96 x 26.04	ENG	graphical novel
0156839458	Sowing: An Autobiography of the Years 1880 to 1904 (Harvest Book; Hb 319)	Leonard Sidney Woolf	1989	Harvest Books	597	10	20.96 x 26.04	ENG	thriller
0156870118	Surprised by Joy: The Shape of My Early Life	C. S. Lewis	1966	Harvest Books	623	2	20.96 x 26.04	ENG	humor
0156881802	Tartuffe, by Moliere	Richard Wilbur	1968	Harvest Books	224	14	20.96 x 26.04	ENG	horror
0156907720	Touch The Water - Touch The Wind	Amos Oz	1991	Harvest Books	201	17	12.70 x 12.70	ENG	political thriller
015696158X	When God Was a Woman (Harvest/Hbj Book)	Merlin Stone	1978	Harvest Books	237	7	20.96 x 26.04	ENG	mystery
0156970902	Wind, Sand, and Stars	Antoine de Saint-Exupéry	1967	Harvest Books	491	2	20.96 x 26.04	ENG	history
0157175308	Elements of Literature: Fourth Course	Anderson	1989	Harcourt School Pub	32	3	17.15 x 16.83	FR	satire
0159504295	Deciding	Michele McCarty	1999	Harcourt Religious Publishers	325	3	17.15 x 16.83	ENG	thriller
0192100246	Think: A Compelling Introduction to Philosophy	Simon Blackburn	1999	Oxford University Press	328	6	20.96 x 26.04	ENG	coming of age
0192100270	Wuthering Heights (Oxford World's Classics, 3)	Emily Bronte	1999	Oxford University Press	394	9	12.70 x 12.70	SP	business/economics
0192100386	The Portrait of a Lady (Oxford World's Classics Hardcovers)	Henry James	1999	Oxford University Press	122	18	20.96 x 26.04	SP	dictionary
0192123068	Detective Stories from the Strand	Jack Adrian	1992	Oxford Univ Pr	529	16	20.96 x 26.04	ENG	cookbook
019214183X	The Oxford Companion to the English Language (Oxford Companion to English Literature)	Tom McArthur	1992	Oxford University Press	664	22	20.96 x 26.04	ENG	science
0192713434	The first summer year	Ian Kellam	1972	Oxford University Press	321	21	29.85 x 29.85	ENG	romance
0192750542	Flambards in Summer	Kathleen M. Peyton	1999	Oxford University Press	58	5	29.85 x 29.85	ENG	western
0192781170	Summer's end: Stories of ghostly lovers	Ann Lawrence	1987	Oxford University Press	594	15	29.85 x 29.85	ENG	coming of age
0192800493	The Oxford Companion to Chess	David Hooper	1996	Oxford Univ Pr	692	21	20.96 x 26.04	ENG	true crime
019280068X	An A-Z of Sailing Terms (Oxford Paperback Reference)	Ian Dear	1999	Oxford University Press	578	23	20.96 x 26.04	ENG	math
0192802542	Dada and Surrealism: A Very Short Introduction (Very Short Introductions)	David Hopkins	2004	Oxford University Press	214	19	20.96 x 26.04	CRO	romance
0192811649	Collected Plays 2	Wole Soyinka	1975	Oxford University Press	587	10	20.96 x 26.04	FR	textbook
0192812165	London Child of the 1870's	M. Vivian Hughes	1977	Oxford Univ Pr	467	7	20.96 x 26.04	ENG	graphical novel
0192812432	A London Girl of the 1880s (Oxford Paperbacks, 401)	M. V. Hughes	1978	Oxford Univ Pr	568	6	20.96 x 26.04	ENG	horror
0192812777	A London family between the wars (Oxford paperbacks)	M. V Hughes	1979	Oxford University Press	77	15	20.96 x 26.04	ENG	short story
0192813617	Eothen or Traces of Travel Brought Home from the East (Oxford paperback)	Alexander Kinglake	1991	Oxford Univ Pr	453	8	20.96 x 26.04	ENG	health/fitness
